year,f-150,tacoma,silverado,wrangler,outback,inflation
2023,34585,28600,36300,31195,28395,100
2022,31520,27150,34600,29995,27645,103.24
2021,29290,26400,29300,29370,26795,113.54
2020,28745,26050,28500,28295,26645,118.88
2019,28155,25850,28300,28045,26345,120.34
2018,27705,25400,28300,27945,25895,122.47
2017,27110,24575,27785,23995,25645,125.52
2016,26540,23660,27195,23895,24995,128.19
2015,26030,20965,26520,22995,24895,129.81
2014,25025,18125,25575,22395,23495,129.96
2013,24070,17625,23590,22295,23495,132.07
2012,23500,17125,22195,22045,23295,134.01
2011,22790,16365,21235,22045,23195,136.78
2010,22060,15345,20850,21165,22995,141.1
2009,21565,15170,19375,20710,22295,143.41
2008,17900,14280,17590,19505,21995,142.9
2007,18275,14180,15840,18610,21495,148.39
2006,18930,13980,15840,18390,22695,152.61
2005,20475,13415,18190,17970,19145,157.54
2004,19610,12460,19545,16635,19220,162.88
2003,19125,12200,18950,16215,18895,167.21
2002,18540,11900,18108,15305,18695,171.02
2001,17245,11845,16045,14890,18195,173.73
2000,15520,11528,15655,14460,18095,178.67
1999,15250,12698,15355,14345,,184.68
1998,14835,12538,,14215,,188.76
1997,14505,12238,,13470,,191.7
1996,14150,12028,,0,,196.09
1995,13287,11848,,12290,,201.88
1994,12648,,,11530,,207.61
1993,11138,,,10925,,212.92
1992,10336,,,10545,,219.3
